date,airt,f.airt,airtmax,f.airtmax,airtmin,f.airtmin,airtmmx,f.airtmmx,airtmmn,f.airtmmn,prec,f.prec,slrt,f.slrt,part,f.part,netr,f.netr,wspd,f.wspd,wres,f.wres,wdir,f.wdir,gspd,f.gspd,s10t,f.s10t
2016-10,49.9,,60.1,,41.3,,76.1,,25.2,,3.03,,9.9,1,19.7,1,31.3,1,3.1,1,0.3,1,291,1,32.0,1,56.7,
2016-11,40.5,,49.8,,32.3,,64.2,,23.7,,3.34,,6.7,,13.7,,5.8,,3.4,,1.0,,293,,31.8,,46.2,
2016-12,28.0,,35.8,,20.0,,51.3,,-6.5,,3.52,,4.9,,9.8,,-15.1,,4.0,1,2.1,1,256,1,36.5,1,36.6,
2017-01,28.6,,35.5,,22.1,,51.4,,-2.6,,2.58,,4.8,,9.6,,-5.8,,4.0,,0.9,,253,,43.2,,34.7,
2017-02,31.0,,40.8,,21.6,,68.5,,-0.8,,2.57,,9.2,,18.4,,4.7,,4.5,,2.0,,257,,39.4,,34.1,
2017-03,28.6,,38.0,,19.8,,57.2,,1.9,,3.08,,12.7,,24.8,,21.1,,4.9,,1.9,,284,,41.8,,35.1,
2017-04,48.7,,59.7,,38.8,,83.5,,28.4,,3.42,,15.1,,29.7,,68.4,,4.3,,0.4,,196,,30.4,,46.5,
2017-05,53.2,,62.7,,43.6,,91.4,,32.2,,7.22,,14.8,,29.1,,77.1,,3.6,,0.4,,146,,34.5,,55.4,
2017-06,64.6,,75.4,,54.4,,91.4,,41.9,,5.03,,20.0,,39.6,,119.5,,3.1,,1.0,,215,,31.5,,65.4,
2017-07,67.6,,77.2,,59.5,,86.0,,50.2,,2.74,,18.0,,36.0,,108.5,,2.4,,0.3,,157,,24.4,,70.5,
2017-08,66.4,,76.5,,57.1,,84.9,,47.7,,3.61,,17.1,2,34.1,2,97.9,2,2.5,2,0.3,2,189,2,23.3,2,70.3,2
2017-09,63.2,,73.6,,54.7,,88.7,,39.2,,2.93,,14.3,,29.3,,71.2,,2.6,,0.4,,35,,22.6,,66.3,
2017-10,56.2,,66.4,,47.5,,77.2,,29.8,,11.74,,9.8,,20.2,,30.9,,3.5,,1.3,,195,,41.2,,59.9,
2017-11,37.9,,46.9,,28.7,,66.4,,14.4,,1.67,,6.4,,12.6,,2.5,,4.2,,1.5,,232,,38.9,,46.1,
2017-12,23.1,,30.1,,16.7,,55.9,,-8.9,,2.80,,4.1,,7.9,,-19.0,,3.4,,1.5,,262,,34.5,,38.4,
2018-01,22.5,,31.3,,13.6,,59.4,,-14.4,,5.12,,5.7,,11.1,,-10.7,,4.5,,2.0,,258,,37.8,,34.5,
2018-02,31.9,,41.6,,22.0,,71.1,,-3.8,,4.92,,7.1,,13.9,,3.8,,4.0,,2.0,,231,,31.3,,34.7,
2018-03,32.2,,40.6,,24.8,,55.2,,5.4,,3.86,,11.5,,22.2,,11.2,,4.3,,1.4,,328,,34.7,,36.4,
2018-04,39.5,,49.0,,30.6,,68.0,,20.3,,5.09,,13.8,,26.3,,56.4,,4.3,,1.1,,260,,46.5,,42.2,
2018-05,60.3,,72.4,,49.1,,85.8,,36.1,,1.82,,18.9,,36.3,,105.9,,3.3,,0.6,,210,,36.0,,58.1,
2018-06,63.7,,74.2,,53.5,,87.8,,43.3,,6.65,,20.0,,39.7,,118.4,,2.7,,0.5,,207,,30.6,,64.2,
2018-07,71.5,,82.5,,61.7,,94.3,,47.3,,7.11,,22.1,,44.5,,139.9,,2.6,,0.9,,159,,25.3,,72.7,
2018-08,70.5,,80.2,,62.7,,89.8,,54.1,,10.76,,16.7,,30.4,,98.8,,2.4,,0.5,,122,,35.3,,73.7,
2018-09,62.5,,71.6,,55.5,,88.3,,42.4,,10.54,,11.5,,21.9,,58.3,,2.6,,0.8,,106,,25.5,,68.3,
2018-10,47.5,,56.0,,39.8,,79.3,,24.6,,4.05,,7.3,1,13.6,1,20.1,1,3.3,1,0.8,1,226,1,36.7,1,56.7,
2018-11,34.5,,40.4,,28.1,,63.9,,0.3,,8.44,,5.1,,10.7,,-4.8,,4.1,,0.8,1,267,1,35.3,,44.0,
2018-12,29.7,,37.7,,21.6,,61.9,,10.8,,4.11,,5.4,,10.8,,-3.8,,3.6,,1.1,,256,,36.9,,35.7,
2019-01,22.1,,30.1,,13.4,,53.6,,-8.9,,5.05,,5.5,2,10.7,2,-7.6,2,4.3,2,1.6,2,258,2,38.3,2,33.3,
2019-02,25.6,,34.4,,17.2,,61.0,,-4.4,,2.87,,8.6,,16.9,,-3.5,,4.2,,1.8,,268,,49.4,,32.2,
2019-03,32.0,,41.9,,22.7,,65.1,,-0.2,,2.00,,13.2,,26.1,,24.6,,4.5,,2.1,,248,,33.3,,32.4,
2019-04,45.1,,55.4,,35.6,,72.7,,21.7,,8.36,,13.7,,28.6,,59.6,,4.6,,1.3,,227,,40.0,,46.4,
2019-05,53.2,,63.3,,43.9,,81.0,,33.3,,3.50,,15.3,,34.3,,83.2,,3.4,,0.4,,181,,29.1,,55.3,
2019-06,64.2,,74.3,,54.0,,86.7,,41.0,,4.24,,20.3,,43.7,,118.3,,2.7,,0.5,,219,,26.8,,66.3,
2019-07,71.7,,83.0,,62.0,,91.6,,53.8,,5.82,,21.6,,49.6,,134.8,,2.2,,0.2,,224,,26.8,,73.7,
2019-08,67.3,,78.7,,57.6,,84.7,,45.5,,3.31,,18.9,,42.4,,107.7,,2.3,,0.4,,185,,26.4,,72.0,
2019-09,60.1,,71.3,,50.1,,85.5,,38.8,,1.80,,15.0,,33.3,,68.2,,2.7,,0.4,,164,,25.1,,65.3,
2019-10,50.3,,58.7,,42.5,,73.6,,31.8,,6.55,,7.9,,17.2,,22.2,,3.5,,0.6,,131,,52.3,,56.7,
2019-11,33.8,,42.8,,25.7,,68.4,,10.0,,3.23,,6.6,,14.6,,1.6,,4.0,,1.4,,271,,44.3,,43.5,
2019-12,28.2,,35.3,,20.3,,55.4,,2.8,,7.06,,4.1,,9.8,,-15.2,,3.9,,1.1,,257,,41.8,,36.6,
2020-01,28.8,,36.6,,21.2,,65.5,,3.6,,1.78,,5.9,,13.7,,-12.4,,3.7,,1.4,,261,,47.0,,35.3,
2020-02,29.0,,36.9,,21.4,,56.3,,-1.3,,3.38,,7.9,,18.5,,1.2,,3.9,,1.5,,257,,37.4,,33.7,
2020-03,37.6,,47.4,,28.5,,69.4,,9.9,,3.64,,12.3,,29.1,,40.5,,4.3,,0.4,,234,,35.8,,39.3,
2020-04,41.1,,50.4,,32.3,,63.1,,23.5,,5.61,,13.6,,32.7,,55.6,,4.5,,1.0,,263,,43.0,,45.4,
2020-05,54.3,,66.3,,42.6,,82.9,,27.5,,2.63,,21.4,,51.2,,115.4,,4.1,,1.2,,243,,35.8,,56.2,
2020-06,66.0,,77.3,,55.3,,87.8,,35.6,,1.24,,21.8,,50.0,,123.9,,2.7,,0.5,,181,,27.5,,66.9,
2020-07,71.8,,82.9,,63.1,,93.0,,53.6,,5.09,,20.8,,46.3,,132.8,,2.5,,0.7,,190,,26.2,,74.1,
2020-08,68.7,,79.9,,59.6,,89.4,,47.5,,3.26,,18.4,,38.9,,103.1,,2.7,,0.3,,186,,46.5,,72.3,
2020-09,60.9,,71.7,,51.3,,80.8,,35.2,,2.11,,15.1,,32.3,,65.7,,2.8,,0.9,,187,,37.1,,65.8,
2020-10,49.3,,58.3,,41.3,,73.0,,19.9,,6.15,,8.7,,18.9,,24.5,,3.1,,0.6,,172,,42.5,,56.7,
2020-11,43.1,,52.7,,34.0,,73.6,,14.5,,4.28,,6.5,,14.3,,4.8,,3.9,,1.6,,220,,36.7,,46.7,
2020-12,30.5,,37.7,,22.6,,60.8,,6.4,,4.40,,3.9,,9.5,,-13.3,,4.1,,1.7,,226,,35.3,,39.1,
2021-01,24.8,,32.1,,18.1,,41.4,,-2.4,,2.69,,5.6,,12.4,,-8.0,,3.7,,1.7,,302,,29.3,,33.7,
2021-02,25.3,,32.1,,18.0,,46.8,,2.8,,2.62,,6.8,,15.8,,-11.3,,3.7,,0.7,,297,,40.9,,32.9,
2021-03,36.5,,47.5,,24.8,,69.6,,4.8,,1.83,,15.1,,34.4,,44.4,,4.8,,2.7,,262,,45.6,,37.8,
2021-04,45.5,,56.8,,34.9,,73.0,,20.3,,5.11,,15.7,,36.4,,70.3,,4.0,,1.0,,304,,41.2,,47.9,
2021-05,55.4,,67.0,,44.8,,85.6,,35.6,,5.41,,19.5,,45.9,,106.4,,3.2,,0.4,,280,,28.2,,57.6,
2021-06,67.7,,78.8,,57.4,,92.1,,45.1,,3.13,,22.1,,51.0,,134.3,,2.8,,1.3,,211,,26.8,,68.2,
2021-07,65.8,,75.4,,58.7,,87.1,,46.2,,11.61,,15.6,,35.6,,91.7,,2.7,,0.5,,109,,27.1,,71.2,
2021-08,69.9,,79.1,,62.5,,89.8,,51.8,,3.67,,15.8,,36.1,,93.1,,2.5,,0.5,,144,,35.6,,73.1,
2021-09,61.7,,70.8,,53.0,,80.8,,41.0,,5.49,,13.5,,30.3,,62.9,,2.8,,0.7,,172,,26.0,,67.6,
2021-10,53.2,,62.2,,46.0,,74.3,,31.5,,6.31,,9.5,,21.2,,34.3,,3.2,,0.7,,81,,30.6,,59.1,
2021-11,37.8,,47.1,,28.9,,64.9,,16.3,,2.82,,7.5,,16.1,,3.9,,3.4,,1.3,,254,,30.9,,45.8,
2021-12,32.9,,39.4,,26.5,,58.3,,11.8,,3.87,,4.3,,9.0,,-6.2,,3.8,,1.5,,244,,37.1,,37.9,
2022-01,19.8,,28.9,,9.0,,47.5,,-7.2,,2.10,,5.9,,12.2,,-24.0,,4.0,,1.6,,266,,42.1,,34.1,
2022-02,27.4,,36.6,,17.1,,61.2,,0.1,,4.54,,8.7,,18.2,,-3.2,,4.7,,2.1,,235,,39.8,,32.5,
2022-03,35.5,,45.7,,25.0,,70.3,,4.5,,2.78,,12.2,,26.1,,32.3,,4.4,,2.0,,253,,41.2,,38.1,
2022-04,44.3,,54.6,,34.3,,70.2,,27.3,,2.44,,16.0,,35.8,,75.4,,4.6,,1.0,,261,,37.1,,47.4,
2022-05,58.6,,69.7,,48.0,,88.7,,36.3,,1.96,,20.6,,45.7,,111.6,,3.7,,0.7,,143,,32.7,,59.5,
2022-06,63.4,,74.5,,53.4,,86.5,,45.1,,2.67,,21.2,,46.8,,121.7,,2.9,,0.7,,213,,28.2,,67.3,
2022-07,70.5,,81.5,,60.4,,90.0,,51.3,,5.40,,22.6,,49.4,,138.3,,2.6,,1.0,,212,,26.2,,73.4,
2022-08,70.6,,82.1,,61.8,,91.2,,52.2,,1.16,,19.0,,42.6,,111.8,,2.5,,0.5,,190,,31.1,,74.0,
2022-09,59.4,,69.8,,50.6,,84.9,,37.8,,7.18,,14.5,,32.0,,69.0,,2.6,,0.2,,164,,23.7,,66.5,
2022-10,50.5,,60.6,,41.6,,73.0,,30.2,,4.41,,10.1,,21.9,,30.1,,3.0,,0.6,,127,,31.1,,56.2,
2022-11,42.3,,50.8,,33.9,,71.8,,15.1,,4.21,,7.2,,15.5,,1.7,,4.4,,2.4,,238,,35.8,,47.2,
2022-12,30.6,,38.2,,22.6,,55.2,,1.6,,4.93,,5.1,,10.9,,-15.6,,4.4,,1.1,,243,,43.8,,38.0,
2023-01,31.2,,37.6,,25.1,,52.2,,13.8,,6.17,,3.8,,8.5,,-9.6,,3.8,7,0.8,7,281,7,33.3,7,36.6,
2023-02,29.3,,38.6,,19.9,,57.0,,-18.0,,1.71,,7.9,,17.6,,-1.2,,4.2,2,1.8,2,243,2,40.3,2,34.5,
2023-03,34.6,,43.2,,26.6,,58.5,,19.4,,4.16,,12.3,,27.6,,17.5,,4.1,2,0.9,2,282,2,37.1,2,35.4,
2023-04,47.9,,58.8,,37.6,,88.2,,23.2,,3.64,,15.3,,34.1,,73.9,,4.3,,0.3,,99,,38.9,,49.9,
2023-05,55.6,,67.7,,43.2,,82.6,,30.2,,2.66,,23.1,,48.3,,116.5,,3.1,,0.3,,263,,28.0,,58.9,
2023-06,62.0,,72.7,,53.4,,90.3,,42.6,,4.06,,17.6,,37.6,,101.9,,2.5,,0.5,,132,,33.6,,66.7,
2023-07,70.6,,81.2,,62.3,,89.6,,52.5,,9.39,,18.6,,41.0,,116.7,,2.4,,0.8,,183,,22.6,,75.1,
2023-08,65.8,,75.0,,57.6,,81.0,,49.6,,4.78,,16.1,,35.0,,90.5,,2.7,,0.7,,188,,24.8,,70.9,
2023-09,61.4,,71.3,,54.1,,88.3,,42.1,,9.20,,12.8,,27.5,,61.9,,2.5,,0.7,,59,,25.7,,67.1,
2023-10,53.1,,62.7,,45.3,,83.8,,28.6,,3.83,,9.2,,19.6,,33.2,,2.6,,0.4,,212,,23.5,,58.5,
